Key,Proyecto,Punto,Sum of NUM_OTU,Sum of NUM_REP,Sum of N_LECT_TOT
1,EIA PPII - PLATERO sobre YNC,Perfil 4(K),2183,6,510249
2,EIA PPII - PLATERO sobre YNC,Sup_hle2,780,12,526536
3,EIA PPII - PLATERO sobre YNC,Sup_hle3,707,12,678616
4,EIA PPII - PLATERO sobre YNC,Sup_hle5,1020,12,700509
5,EIA PPII - PLATERO sobre YNC,Sup_hlo10,490,6,45232
6,EIA PPII - PLATERO sobre YNC,Sup_hlo2,1232,12,490469
7,EIA PPII - PLATERO sobre YNC,Sup_hlo4,1383,18,725657
8,EIA PPII - PLATERO sobre YNC,Sup_hlo7,1206,6,121461
9,EIA PPII - PLATERO sobre YNC,Sup_Slo1,1125,12,667342
