Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
85,EIA PPII - KALE sobre YNC,Adelpha basiloides,1,1,0.17
86,EIA PPII - KALE sobre YNC,Canthon gr. politus,76,76,5.84
87,EIA PPII - KALE sobre YNC,Canthon septemmaculatus,29,29,4.60001
88,EIA PPII - KALE sobre YNC,Onthophagus marginicolis,35,35,2.63005
89,EIA PPII - KALE sobre YNC,Canthon (Canthon) gr. Lituratus,11,11,1.4
90,EIA PPII - KALE sobre YNC,Phanaeus (Notiophanaeus)gr. chalchomelas,1,1,0.1
91,EIA PPII - KALE sobre YNC,Deltochilum (Hybomidium) aff. orbignyi,1,1,0.00001
92,EIA PPII - KALE sobre YNC,Dyscinetus dubius,1,1,1
93,EIA PPII - KALE sobre YNC,Phyllophaga obsoleta,1,1,1
94,EIA PPII - KALE sobre YNC,Hoplophyga liturata,9,9,2
95,EIA PPII - KALE sobre YNC,Solenopsis cf. geminata ,722,722,19.83
96,EIA PPII - KALE sobre YNC,Platythyrea ,1,1,0.06
97,EIA PPII - KALE sobre YNC,Crematogaster brasiliensis,38,38,0.97
98,EIA PPII - KALE sobre YNC,Azteca ,18,18,0.3
99,EIA PPII - KALE sobre YNC,Mayaponera constricta,18,18,0.52
100,EIA PPII - KALE sobre YNC,Crematogaster muelleri,31,31,0.84
101,EIA PPII - KALE sobre YNC,Rasopone arhuaca,1,1,0.09
102,EIA PPII - KALE sobre YNC,Strumigenys trinidadensis,1,1,0.07
103,EIA PPII - KALE sobre YNC,Brachymyrmex cavernicola,1,1,0.17
104,EIA PPII - KALE sobre YNC,Discothyrea ,1,1,0.01
105,EIA PPII - KALE sobre YNC,Strumigenys perparva,1,1,0.05
106,EIA PPII - KALE sobre YNC,Strumigenys cf. interfectiva,2,2,0.33
107,EIA PPII - KALE sobre YNC,Strumigenys cf. hyphata,3,3,0.09
108,EIA PPII - KALE sobre YNC,Caligo illioneus ,16,16,1.25
109,EIA PPII - KALE sobre YNC,Panthiades bitias,1,1,0.2
110,EIA PPII - KALE sobre YNC,Heliopetes arsalte ,4,4,0.26
111,EIA PPII - KALE sobre YNC,Adelpha iphicleola,1,1,0.25
112,EIA PPII - KALE sobre YNC,Heliconius sara ,6,6,0.55
113,EIA PPII - KALE sobre YNC,Cissia pompilia,1,1,0.08
114,EIA PPII - KALE sobre YNC,Heliconius ismenius ,1,1,0.1
115,EIA PPII - KALE sobre YNC,Eresia eunice ,1,1,0.1
116,EIA PPII - KALE sobre YNC,Adelpha pollina ,1,1,0.05
117,EIA PPII - KALE sobre YNC,Conocephalus cinereus,5,5,0.65
118,EIA PPII - KALE sobre YNC,Neoconocephalus affinis ,4,4,0.52
119,EIA PPII - KALE sobre YNC,Eneoptera surinamensis ,5,5,0.65
120,EIA PPII - KALE sobre YNC,major,96,96,4.062
121,EIA PPII - KALE sobre YNC,ani,106,106,4.011
122,EIA PPII - KALE sobre YNC,solitaria,1,1,0.019
123,EIA PPII - KALE sobre YNC,anhinga,1,1,0.019
124,EIA PPII - KALE sobre YNC,striata,8,8,0.227
125,EIA PPII - KALE sobre YNC,torquata,1,1,0.019
126,EIA PPII - KALE sobre YNC,torquatus,4,4,0.131
127,EIA PPII - KALE sobre YNC,rubricapillus,20,20,0.846
128,EIA PPII - KALE sobre YNC,chimachima,71,71,5.506
129,EIA PPII - KALE sobre YNC,pertinax,75,75,0.974
130,EIA PPII - KALE sobre YNC,similis,1,1,0.019
131,EIA PPII - KALE sobre YNC,rustica,20,20,0.385
132,EIA PPII - KALE sobre YNC,cela,2,2,0.11
133,EIA PPII - KALE sobre YNC,auricapillus,5,5,0.204
134,EIA PPII - KALE sobre YNC,chavaria,10,10,0.315
135,EIA PPII - KALE sobre YNC,cayennensis,10,10,1.598
136,EIA PPII - KALE sobre YNC,ochrocephala,7,7,0.252
137,EIA PPII - KALE sobre YNC,cajaneus,2,2,0.091
138,EIA PPII - KALE sobre YNC,martinica,2,2,0.133
139,EIA PPII - KALE sobre YNC,sulphuratus,36,36,3.485
140,EIA PPII - KALE sobre YNC,lineatus,5,5,0.441
141,EIA PPII - KALE sobre YNC,amazonica,2,2,0.182
142,EIA PPII - KALE sobre YNC,griseus,72,72,4.736
143,EIA PPII - KALE sobre YNC,columbiana,26,26,1.576
144,EIA PPII - KALE sobre YNC,verreauxi,38,38,2.199
145,EIA PPII - KALE sobre YNC,cayanensis,26,26,2.077
146,EIA PPII - KALE sobre YNC,soui,4,4,0.716
147,EIA PPII - KALE sobre YNC,julie,3,3,0.45
148,EIA PPII - KALE sobre YNC,aenea,4,4,0.342
