Key,Proyecto,Species,Sum of NUM_IND,Sum of ABUND_REL,Sum of ABUND_ABS
216,EIA PPII - PLATERO sobre YNC,rubinus,3,3,0.107
217,EIA PPII - PLATERO sobre YNC,maculatus,4,4,0.096
218,EIA PPII - PLATERO sobre YNC,gilvus,5,5,0.112
219,EIA PPII - PLATERO sobre YNC,cayana,2,2,0.1
220,EIA PPII - PLATERO sobre YNC,cheriway,2,2,0.1
221,EIA PPII - PLATERO sobre YNC,saucerottei,3,3,0.125
222,EIA PPII - PLATERO sobre YNC,concinna,1,1,0.048
223,EIA PPII - PLATERO sobre YNC,pitangua,1,1,0.048
224,EIA PPII - PLATERO sobre YNC,cinnamomeus,3,3,0.071
225,EIA PPII - PLATERO sobre YNC,sylvia,6,6,0.274
226,EIA PPII - PLATERO sobre YNC,auriculata,2,2,0.028
227,EIA PPII - PLATERO sobre YNC,grisea,4,4,0.182
228,EIA PPII - PLATERO sobre YNC,dominicensis,1,1,0.014
229,EIA PPII - PLATERO sobre YNC,chilensis,8,8,0.113
230,EIA PPII - PLATERO sobre YNC,simplex,17,17,0.155
231,EIA PPII - PLATERO sobre YNC,brasilianus,3,3,0.05
232,EIA PPII - PLATERO sobre YNC,ruficollis,3,3,0.091
233,EIA PPII - PLATERO sobre YNC,thula,4,4,0.037
234,EIA PPII - PLATERO sobre YNC,ajaja,10,10,0.093
235,EIA PPII - PLATERO sobre YNC,superciliaris,3,3,0.065
236,EIA PPII - PLATERO sobre YNC,mycteria,2,2,0.042
237,EIA PPII - PLATERO sobre YNC,leucocephala,4,4,0.086
238,EIA PPII - PLATERO sobre YNC,Sigmodon hirsutus cf,6,6,0.785
239,EIA PPII - PLATERO sobre YNC,Didelphis marupialis,82,82,4.817
240,EIA PPII - PLATERO sobre YNC,Puma yagouaroundi,8,8,1.159
241,EIA PPII - PLATERO sobre YNC,Molossus pretiosus,3,3,0.65
242,EIA PPII - PLATERO sobre YNC,Artibeus planirostris,1,1,0.25
243,EIA PPII - PLATERO sobre YNC,Anura sp,2,2,0.4
244,EIA PPII - PLATERO sobre YNC,Platyrrhinus helleri,1,1,1
245,EIA PPII - PLATERO sobre YNC,Sturnira ludovici cf,1,1,1
246,EIA PPII - PLATERO sobre YNC,Panthera onca,2,2,1.01
247,EIA PPII - PLATERO sobre YNC,Sturnira sp.,1,1,1
248,EIA PPII - PLATERO sobre YNC,Chiroderma salvini,1,1,0.1
249,EIA PPII - PLATERO sobre YNC,EIA PPII - PLATERO sobre YNC,28929,89.69597336,28929
250,EIA PPII - PLATERO sobre YNC,(blank),28929,89.69597336,28929
251,EIA PPII - PLATERO sobre YNC,Acromyrmex sp.1,6,0.000601521,6
252,EIA PPII - PLATERO sobre YNC,Adelpha sp.2,1,0.004878049,1
253,EIA PPII - PLATERO sobre YNC,Anochetus mayri,6,0.000549149,6
254,EIA PPII - PLATERO sobre YNC,Archaeoprepona demophon,4,0.017724225,4
255,EIA PPII - PLATERO sobre YNC,Artibeus jamaicensis,24,1.94017785,24
256,EIA PPII - PLATERO sobre YNC,Artibeus lituratus,50,4.042037187,50
257,EIA PPII - PLATERO sobre YNC,Atta colombica,939,0.092299739,939
258,EIA PPII - PLATERO sobre YNC,Azteca sp.1,63,0.006321205,63
259,EIA PPII - PLATERO sobre YNC,Azteca sp.2,128,0.011956086,128
260,EIA PPII - PLATERO sobre YNC,Azteca sp.3,357,0.033795113,357
261,EIA PPII - PLATERO sobre YNC,Bourletiellidae sp.1,26,0.007836082,26
262,EIA PPII - PLATERO sobre YNC,Bourletiellidae sp.2,53,0.01588777,53
263,EIA PPII - PLATERO sobre YNC,Bourletiellidae sp.3,41,0.011452514,41
264,EIA PPII - PLATERO sobre YNC,Brachymyrmex sp.1,259,0.024239117,259
265,EIA PPII - PLATERO sobre YNC,Brachymyrmex sp.2,220,0.021046728,220
266,EIA PPII - PLATERO sobre YNC,Brachymyrmex sp.3,197,0.019151145,197
267,EIA PPII - PLATERO sobre YNC,Brachymyrmex sp.4,76,0.006997783,76
268,EIA PPII - PLATERO sobre YNC,Brachymyrmex sp.5,1,9.15248E-05,1
269,EIA PPII - PLATERO sobre YNC,Brachystomella sp.,87,0.026786895,87
270,EIA PPII - PLATERO sobre YNC,Caligo brasilensis,1,0.003984064,1
271,EIA PPII - PLATERO sobre YNC,Caligo illioneus,8,0.038130405,8
272,EIA PPII - PLATERO sobre YNC,Caligo prometheus,2,0.007968127,2
273,EIA PPII - PLATERO sobre YNC,Caligo telamonius,8,0.03366048,8
274,EIA PPII - PLATERO sobre YNC,Callicore pitheas,2,0.009756098,2
275,EIA PPII - PLATERO sobre YNC,Calvatomina sp.,430,0.139419972,430
276,EIA PPII - PLATERO sobre YNC,Camponotus sp.1,36,0.003556752,36
277,EIA PPII - PLATERO sobre YNC,Camponotus sp.10,20,0.001830496,20
278,EIA PPII - PLATERO sobre YNC,Camponotus sp.11,3,0.000285049,3
279,EIA PPII - PLATERO sobre YNC,Camponotus sp.12,5,0.000468098,5
280,EIA PPII - PLATERO sobre YNC,Camponotus sp.13,3,0.000295523,3
281,EIA PPII - PLATERO sobre YNC,Camponotus sp.14,4,0.000397522,4
282,EIA PPII - PLATERO sobre YNC,Camponotus sp.15,4,0.000407997,4
283,EIA PPII - PLATERO sobre YNC,Camponotus sp.2,65,0.006127177,65
284,EIA PPII - PLATERO sobre YNC,Camponotus sp.3,23,0.002115545,23
285,EIA PPII - PLATERO sobre YNC,Camponotus sp.4,47,0.00440641,47
